GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
0500000US42001,42001,"Adams County, Pennsylvania",101407,101417,101475,101650,101535,101407,101612,102063,102180
0500000US42003,42003,"Allegheny County, Pennsylvania",1223348,1223338,1223972,1227535,1230842,1233631,1232666,1229298,1225365
0500000US42005,42005,"Armstrong County, Pennsylvania",68941,68938,68859,68645,68367,68095,67660,66953,66486
0500000US42007,42007,"Beaver County, Pennsylvania",170539,170539,170610,170354,170250,170045,169392,168908,167429
0500000US42009,42009,"Bedford County, Pennsylvania",49762,49768,49714,49414,49375,49111,48925,48522,48325
0500000US42011,42011,"Berks County, Pennsylvania",411442,411572,411988,412676,413331,413687,414021,414635,414812
0500000US42013,42013,"Blair County, Pennsylvania",127089,127076,127053,127178,126991,126419,126019,125506,124650
0500000US42015,42015,"Bradford County, Pennsylvania",62622,62622,62615,63044,62847,62350,61744,61329,60770
0500000US42017,42017,"Bucks County, Pennsylvania",625249,625255,625538,626397,625930,625783,626169,626821,626399
0500000US42019,42019,"Butler County, Pennsylvania",183862,183862,184114,184723,185081,185360,186141,186441,186847
0500000US42021,42021,"Cambria County, Pennsylvania",143679,143674,143464,142572,141531,138837,137517,136194,134732
0500000US42023,42023,"Cameron County, Pennsylvania",5085,5085,5074,4989,4946,4886,4785,4742,4677
0500000US42025,42025,"Carbon County, Pennsylvania",65249,65250,65236,65141,64963,64721,64435,63936,63594
0500000US42027,42027,"Centre County, Pennsylvania",153990,154027,154304,154995,155936,158331,159666,160491,161464
0500000US42029,42029,"Chester County, Pennsylvania",498886,499146,499963,503652,506278,509396,512899,515253,516312
0500000US42031,42031,"Clarion County, Pennsylvania",39988,39991,39930,39883,39437,39066,38847,38831,38513
0500000US42033,42033,"Clearfield County, Pennsylvania",81642,81597,81536,81467,81479,81601,81205,80967,80596
0500000US42035,42035,"Clinton County, Pennsylvania",39238,39241,39247,39520,39740,39854,39494,39359,39233
0500000US42037,42037,"Columbia County, Pennsylvania",67295,67296,67364,66926,66888,67044,66922,66586,66420
0500000US42039,42039,"Crawford County, Pennsylvania",88765,88761,88686,88104,87675,87435,87128,86638,86257
0500000US42041,42041,"Cumberland County, Pennsylvania",235406,235408,235980,236891,239217,241265,243689,246513,248506
0500000US42043,42043,"Dauphin County, Pennsylvania",268100,268100,268268,269059,269961,271259,271977,272904,273707
0500000US42045,42045,"Delaware County, Pennsylvania",558979,558726,559105,559094,560834,561439,562582,563321,563402
0500000US42047,42047,"Elk County, Pennsylvania",31946,31946,31859,31796,31627,31431,31139,30879,30480
0500000US42049,42049,"Erie County, Pennsylvania",280566,280564,280771,281197,281541,280613,279251,278052,276207
0500000US42051,42051,"Fayette County, Pennsylvania",136606,136602,136466,136032,135464,134867,134376,133704,132733
0500000US42053,42053,"Forest County, Pennsylvania",7716,7716,7703,7734,7655,7572,7499,7420,7321
0500000US42055,42055,"Franklin County, Pennsylvania",149618,149618,149948,151014,151575,152063,152751,153295,153851
0500000US42057,42057,"Fulton County, Pennsylvania",14845,14844,14868,14773,14749,14668,14604,14605,14640
0500000US42059,42059,"Greene County, Pennsylvania",38686,38686,38606,38418,38063,37862,37783,37438,37197
0500000US42061,42061,"Huntingdon County, Pennsylvania",45913,46031,46017,46130,46052,45949,45866,45721,45634
0500000US42063,42063,"Indiana County, Pennsylvania",88880,88893,88850,88575,88255,88264,87597,86977,86364
0500000US42065,42065,"Jefferson County, Pennsylvania",45200,45196,45199,44930,44839,44946,44605,44410,44073
0500000US42067,42067,"Juniata County, Pennsylvania",24636,24636,24536,24919,24900,24777,24781,24732,24863
0500000US42069,42069,"Lackawanna County, Pennsylvania",214437,214440,214516,214587,214583,213986,212963,212175,211321
0500000US42071,42071,"Lancaster County, Pennsylvania",519445,519448,520361,523689,526864,530189,533650,536349,538500
0500000US42073,42073,"Lawrence County, Pennsylvania",91108,91140,90971,90322,89713,89120,88476,88036,87294
0500000US42075,42075,"Lebanon County, Pennsylvania",133568,133577,133675,134482,135633,135866,136657,137729,138863
0500000US42077,42077,"Lehigh County, Pennsylvania",349497,349626,350187,353625,355403,356006,358552,360852,363147
0500000US42079,42079,"Luzerne County, Pennsylvania",320918,320918,320999,321129,321420,319893,319079,317812,316383
0500000US42081,42081,"Lycoming County, Pennsylvania",116111,116108,116196,116677,117319,116720,116450,115829,115248
0500000US42083,42083,"McKean County, Pennsylvania",43450,43450,43361,43187,43234,42844,42670,42416,41883
0500000US42085,42085,"Mercer County, Pennsylvania",116638,116674,116628,116243,115806,115343,114936,113992,112913
0500000US42087,42087,"Mifflin County, Pennsylvania",46682,46682,46655,46776,46832,46714,46555,46481,46342
0500000US42089,42089,"Monroe County, Pennsylvania",169842,169842,169910,169868,168567,167271,167197,166499,166098
0500000US42091,42091,"Montgomery County, Pennsylvania",799874,799884,801112,805500,809540,813400,816350,818363,821725
0500000US42093,42093,"Montour County, Pennsylvania",18267,18267,18307,18363,18454,18419,18444,18358,18343
0500000US42095,42095,"Northampton County, Pennsylvania",297735,297735,298049,298280,299293,299527,300296,301190,302294
0500000US42097,42097,"Northumberland County, Pennsylvania",94528,94514,94353,94451,94512,94025,93729,93144,92541
0500000US42099,42099,"Perry County, Pennsylvania",45969,45965,45999,45841,45720,45537,45479,45679,45820
0500000US42101,42101,"Philadelphia County, Pennsylvania",1526006,1526006,1528427,1539022,1550379,1555868,1560609,1564964,1567872
0500000US42103,42103,"Pike County, Pennsylvania",57369,57344,57312,57529,56758,56598,56205,55927,55562
0500000US42105,42105,"Potter County, Pennsylvania",17457,17458,17470,17444,17610,17478,17182,17041,16885
0500000US42107,42107,"Schuylkill County, Pennsylvania",148289,148289,148213,147621,147302,146758,145559,144321,143573
0500000US42109,42109,"Snyder County, Pennsylvania",39702,39709,39745,39664,39803,40091,40271,40599,40468
0500000US42111,42111,"Somerset County, Pennsylvania",77742,77746,77759,77377,77191,76769,76334,75649,75061
0500000US42113,42113,"Sullivan County, Pennsylvania",6428,6428,6410,6448,6446,6325,6311,6292,6137
0500000US42115,42115,"Susquehanna County, Pennsylvania",43356,43352,43401,43120,42758,42266,41828,41448,40862
0500000US42117,42117,"Tioga County, Pennsylvania",41981,41983,42029,42414,42606,42397,42051,41633,41467
0500000US42119,42119,"Union County, Pennsylvania",44947,44949,44971,45064,45143,44746,44944,45494,45565
0500000US42121,42121,"Venango County, Pennsylvania",54984,54983,54963,54713,54232,53905,53479,53101,52582
0500000US42123,42123,"Warren County, Pennsylvania",41815,41815,41755,41502,41239,40947,40690,40344,40025
0500000US42125,42125,"Washington County, Pennsylvania",207820,207848,207900,208069,208480,208264,208354,208268,207981
0500000US42127,42127,"Wayne County, Pennsylvania",52822,52825,52902,52231,51695,51639,51402,51091,50710
0500000US42129,42129,"Westmoreland County, Pennsylvania",365169,365164,365122,364493,363179,361151,359398,357699,355458
0500000US42131,42131,"Wyoming County, Pennsylvania",28276,28269,28227,28290,28345,28125,28128,27756,27521
0500000US42133,42133,"York County, Pennsylvania",434972,434998,435540,436845,437641,439117,440590,441929,443744
